COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Medium	p_Small	p_Large	N_Medium	N_Small	N_Large
WGR domain, predicted DNA-binding domain in MolR (WGR) (PDB:2CR9)	13.075425480874092	0.001447796200497387	0.00897046699902773	Large	COG3831	GC_00014339, GC_00017030, GC_00022310, GC_00052327, GC_00069147, GC_00069576	0.0728	0	0.3333	151	15	15
ABC-type spermidine/putrescine transport system, permease component I (PotB)!!!ABC-type spermidine/putrescine transport system, permease component II (PotC)	13.049696451203637	0.0014665417136385164	0.009071290060077704	Medium	COG1176!!!COG1177	GC_00005913, GC_00009855, GC_00011876, GC_00019206, GC_00024936, GC_00030457, GC_00031437, GC_00034382, GC_00040272, GC_00044799, GC_00063118, GC_00064105, GC_00071734	0.7947	0.4	0.6	151	15	15
WD40 repeat (WD40) (PDB:3UVN)!!!Cytochrome c2 (Cyc7) (PDB:1YEA)	12.999770312650252	0.0015036118633743052	0.009284929822991502	Medium	COG2319!!!COG3474	GC_00004372	0.8477	0.4667	0.8	151	15	15
Arginine/lysine/ornithine decarboxylase (LdcC) (PDB:1C4K)	12.950566295374772	0.0015410625272768983	0.009484257298744579	Medium, Large	COG1982	GC_00000256, GC_00007343	0.9073	0.6	0.9333	151	15	15
Phage terminase, small subunit	12.950566295374735	0.0015410625272769271	0.009484257298744579	Large	COG3747	GC_00015644, GC_00021885, GC_00026707, GC_00026916, GC_00027220, GC_00031740, GC_00034140, GC_00036151, GC_00051927, GC_00055623, GC_00062981, GC_00064760, GC_00067521, GC_00074023	0.0927	0.0667	0.4	151	15	15
ABC-type iron transporter FetAB, ATPase component (FetA)	12.897515745627484	0.0015824865980734579	0.009722882481965567	Medium	COG4619	GC_00005198, GC_00035678	0.7285	0.3333	0.4667	151	15	15
Formylglycine-generating enzyme, required for sulfatase activity, contains SUMF1/FGE domain (YfmG) (PDB:2AFT)!!!Uncharacterized conserved protein, contains caspase domain (PDB:3UO8)	12.82296700059337	0.0016425859170017673	0.010075259437395455	Medium, Large	COG1262!!!COG4249	GC_00005353, GC_00011228, GC_00014612, GC_00015441, GC_00015594, GC_00018217, GC_00032064, GC_00034348, GC_00048113, GC_00054596, GC_00069957, GC_00076809	0.7947	0.4	0.8667	151	15	15
Capsular polysaccharide biosynthesis protein	12.727425460057118	0.0017229579445088741	0.010550600568378213	Small, Large	COG4421	GC_00012342, GC_00031312, GC_00074108	0.0464	0.2667	0.2	151	15	15
Enoyl-[acyl-carrier-protein] reductase FabI (FabI) (PDB:1C14)	12.66049198686658	0.0017815954544098702	0.010837300376078806	Medium, Large	COG0623	GC_00000304, GC_00003959, GC_00007940, GC_00071687	0.9536	0.7333	1	151	15	15
Na+/proline symporter (PutP) (PDB:5NVA)!!!Signal transduction histidine kinase (BaeS) (PDB:1JOY)!!!DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain (OmpR) (PDB:1XHF)!!!PAS domain (PAS) (PDB:2MWG)	12.660491986866544	0.0017815954544099018	0.010837300376078806	Large	COG0591!!!COG0642!!!COG0745!!!COG2202	GC_00012503	0.0464	0	0.2667	151	15	15
tRNA A58 N-methylase Trm61 (Gcd14) (PDB:1I9G)	12.660491986866544	0.0017815954544099018	0.010837300376078806	Large	COG2519	GC_00013756, GC_00040848, GC_00053272, GC_00065791	0.0464	0	0.2667	151	15	15
Triacylglycerol esterase/lipase EstA, alpha/beta hydrolase fold (EstA) (PDB:1I6W)!!!Uncharacterized conserved protein, contains CHAT domain (PUBMED:11835511)	12.660491986866544	0.0017815954544099018	0.010837300376078806	Large	COG1075!!!COG4995	GC_00026229, GC_00026929, GC_00027589, GC_00042961, GC_00048021, GC_00061141, GC_00071032, GC_00077550	0.0464	0	0.2667	151	15	15
PAS domain (PAS) (PDB:2MWG)!!!Two-component response regulator, PleD family, consists of two REC domains and a diguanylate cyclase (GGDEF) domain (PleD) (PDB:1W25)	12.627549683207565	0.001811183388386646	0.010960834523650414	Medium	COG2202!!!COG3706	GC_00004492	0.8344	0.6667	0.4667	151	15	15
Uncharacterized conserved protein, DUF2252 family	12.624525840517586	0.0018139238263525338	0.010960834523650414	Large	COG4320	GC_00012858, GC_00013724, GC_00015471, GC_00033619, GC_00034123, GC_00041881, GC_00041882, GC_00043866, GC_00055460	0.1325	0.0667	0.4667	151	15	15
Type VI protein secretion system component Hcp (secreted cytotoxin) (Hcp) (PDB:1Y12)	12.624525840517586	0.0018139238263525338	0.010960834523650414	Large	COG3157	GC_00010047, GC_00015357, GC_00034869, GC_00041222, GC_00042225, GC_00064411	0.1325	0.0667	0.4667	151	15	15
ABC-type iron transport system FetAB, permease component (FetB) (PUBMED:24038693)	12.62130761820466	0.0018168449810194766	0.010960834523650414	Medium	COG0390	GC_00005100, GC_00016987, GC_00022578, GC_00034865	0.755	0.3333	0.6	151	15	15
Tetraheme cytochrome c subunit NapC of nitrate or TMAO reductase (NapC)	12.621307618204657	0.0018168449810194796	0.010960834523650414	Small, Large	COG3005	GC_00007309, GC_00038024	0.245	0.4	0.6667	151	15	15
Terpene cyclase SqhC (SqhC) (PDB:1GSZ) (PUBMED:21627333)	12.61105979019119	0.0018261782294269429	0.01099031788858261	Small, Large	COG1657	GC_00008941, GC_00031475, GC_00037300, GC_00050973	0.1126	0.4	0.3333	151	15	15
Transcriptional regulator, contains XRE-family HTH domain (HipB) (PDB:1ADR)!!!Uncharacterized conserved protein, cupin superfamily	12.609366923872377	0.001827724621601797	0.01099031788858261	Medium	COG1396!!!COG3837	GC_00004956, GC_00008098, GC_00009715, GC_00016586, GC_00022194, GC_00026865, GC_00031608, GC_00056059, GC_00061749	0.9404	0.7333	0.7333	151	15	15
Urease accessory protein UreE (UreE) (PDB:1EAR)	12.597509387576421	0.0018385929632250136	0.011037576086922013	Small, Large	COG2371	GC_00008477, GC_00012621, GC_00016913, GC_00027942	0.1788	0.5333	0.4	151	15	15
Na+(or H+)/acetate symporter ActP (ActP)	12.326251770293558	0.002105660919440335	0.012612476888166193	Large	COG4147	GC_00007848, GC_00010967, GC_00013730, GC_00014513, GC_00016393, GC_00038965	0.2119	0.1333	0.6	151	15	15
CMP-N-acetylneuraminic acid synthetase, NeuA/PseF family (NeuA) (PDB:1EYR)	12.324211246397692	0.0021078103414519838	0.012612476888166193	Small, Large	COG1083	GC_00010421, GC_00011923, GC_00013551, GC_00017075, GC_00018550, GC_00023772, GC_00055262, GC_00078123, GC_00078850	0.1391	0.3333	0.4667	151	15	15
Phage-related lysozyme (muramidase), GH24 family (RrrD) (PDB:4ZPU)	12.320162379461411	0.002112081785419958	0.0126174527506847	Small, Large	COG3772	GC_00035164, GC_00035640, GC_00036356, GC_00041515, GC_00047622, GC_00047730, GC_00049509, GC_00067376	0.0397	0.0667	0.2667	151	15	15
Periplasmic ferric-dicitrate binding protein FecR, regulates iron transport (FecR) (PDB:5CAM)	12.309768464401918	0.002123086756172098	0.012662572718112611	Medium	COG3712	GC_00004773, GC_00011988, GC_00014077, GC_00017435, GC_00017440, GC_00017770, GC_00020065, GC_00023258, GC_00024856, GC_00025425, GC_00025639, GC_00027795, GC_00032988, GC_00034128, GC_00034586, GC_00037730, GC_00041127, GC_00042490, GC_00044110, GC_00047290, GC_00049729, GC_00052675, GC_00059986, GC_00066131, GC_00067829, GC_00072418, GC_00078757	0.8675	0.6	0.6	151	15	15
Cu/Zn superoxide dismutase (SodC) (PDB:1ESO)	12.253164205110473	0.002184033019150225	0.012983846214332294	Small, Large	COG2032	GC_00018015, GC_00022839, GC_00061723	0.0199	0.0667	0.2	151	15	15
Type IV secretory pathway, component VirB8 (VirB8) (PDB:2BHM)	12.253164205110473	0.002184033019150225	0.012983846214332294	Small, Large	COG3736	GC_00015254, GC_00031461	0.0199	0.0667	0.2	151	15	15
Alpha-acetolactate decarboxylase (AlsD) (PDB:1XV2)	12.211879365325977	0.00222958528275673	0.013183458881532441	Small, Large	COG3527	GC_00014230, GC_00019093, GC_00034242, GC_00043257	0.0331	0.2	0.2	151	15	15
DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain (OmpR) (PDB:1XHF)!!!DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains (CitB) (PDB:1A04)	12.211879365325977	0.00222958528275673	0.013183458881532441	Medium	COG0745!!!COG2197	GC_00003476	0.9669	0.8	0.8	151	15	15
Signal transduction histidine kinase (BaeS) (PDB:1JOY)!!!CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)!!!Purine-cytosine permease or related protein (CodB)	12.211879365325977	0.00222958528275673	0.013183458881532441	Medium	COG0642!!!COG0784!!!COG1457	GC_00002705	0.9669	0.8	0.8	151	15	15
Predicted DNA modification or repair protein, contains radical SAM and helix-hairpin-helix domains	12.209726203346587	0.0022319869044252036	0.013183458881532441	Medium, Small	COG4277	GC_00004355	0.8344	0.8667	0.4667	151	15	15
Very-short-patch-repair endonuclease (YcjD) (PDB:3HRL)	12.193162700262612	0.0022505484202533887	0.013229185265207421	Medium	COG2852	GC_00005516, GC_00008421, GC_00009114, GC_00009164, GC_00010108, GC_00010955, GC_00017151, GC_00021651, GC_00030515, GC_00038916, GC_00038917, GC_00051667, GC_00056839, GC_00065219, GC_00078548	0.9205	0.7333	0.6667	151	15	15
ATP-, maltotriose- and DNA-dependent transcriptional regulator MalT (MalT)	12.193162700262612	0.0022505484202533887	0.013229185265207421	Small, Large	COG2909	GC_00011880, GC_00014681, GC_00029448, GC_00063429, GC_00066018	0.0795	0.2667	0.3333	151	15	15
TPP-dependent indolepyruvate ferredoxin oxidoreductase, alpha subunit (IorA)	12.193162700262612	0.0022505484202533887	0.013229185265207421	Medium	COG4231	GC_00003201, GC_00007852, GC_00015301, GC_00020594	0.9205	0.7333	0.6667	151	15	15
Uncharacterized membrane protein YoaK, UPF0700 family (YoaK)	12.176761298377526	0.0022690803784698285	0.013274301161447299	Medium, Large	COG3619	GC_00000681, GC_00007689, GC_00007790, GC_00009662, GC_00010613, GC_00013662, GC_00028446, GC_00028764, GC_00032875, GC_00034267, GC_00037680, GC_00070775	0.9338	0.6667	0.9333	151	15	15
Type IV secretory pathway, VirB2 component (pilin) (VirB2)	12.176761298377526	0.0022690803784698285	0.013274301161447299	Medium, Large	COG3838	GC_00000762, GC_00014304, GC_00021299, GC_00036337	0.9338	0.6667	0.9333	151	15	15
Anti-sigma regulatory factor (Ser/Thr protein kinase) (RsbW) (PDB:1TIL)	12.176761298377496	0.002269080378469863	0.013274301161447299	Small	COG2172	GC_00013521, GC_00017978, GC_00038078	0.0662	0.3333	0.0667	151	15	15
Transposase and inactivated derivatives, IS1 family (InsB)	12.087787066103013	0.0023723042636068364	0.013856070125652667	Small, Large	COG1662	GC_00013161, GC_00014025, GC_00017402, GC_00021229, GC_00052350	0.0927	0.1333	0.4	151	15	15
DNA/RNA endonuclease G, NUC1 (NUC1) (PDB:1G8T)!!!V8-like Glu-specific endopeptidase (eMpr)	12.028590040096761	0.00244357042563096	0.014249628491596758	Large	COG1864!!!COG3591	GC_00016691, GC_00021822, GC_00026440, GC_00028116, GC_00032164, GC_00042072, GC_00069649, GC_00071646	0.0795	0	0.3333	151	15	15
Nitrate reductase cytochrome c-type subunit NapB (NapB) (PDB:1JNI)	12.015945687163724	0.002459068046798231	0.014317240628025255	Small, Large	COG3043	GC_00007454, GC_00018078	0.245	0.3333	0.6667	151	15	15
Tryptophan-rich sensory protein TspO/CrtK (mitochondrial benzodiazepine receptor homolog) (TspO) (PDB:2MGY)	11.946876128821662	0.0025454748511214665	0.014796833207469951	Small	COG3476	GC_00009323, GC_00014068, GC_00022890, GC_00023894, GC_00023895	0.1391	0.4667	0.0667	151	15	15
SRSO17 transposase (Srso17)	11.871808580853813	0.002642831786155342	0.015338460429774993	Medium	COG5659	GC_00000027, GC_00003728, GC_00005385, GC_00006949, GC_00008119, GC_00011556, GC_00013210, GC_00013897, GC_00015827, GC_00019338, GC_00028229, GC_00038083, GC_00038615, GC_00040119, GC_00044432, GC_00046873, GC_00050028, GC_00074032	0.8278	0.4667	0.6667	151	15	15
DNA modification methylase (YhdJ) (PDB:1BOO)!!!Chromosome segregation protein Spo0J, contains ParB-like nuclease domain (Spo0J) (PDB:1R71)	11.791627914311569	0.002750936287258451	0.015940654504998417	Small, Large	COG0863!!!COG1475	GC_00010786, GC_00011529, GC_00012367, GC_00017112, GC_00017113, GC_00020905, GC_00021170, GC_00025734, GC_00051677, GC_00057492, GC_00063316, GC_00066785, GC_00068843, GC_00078276	0.1589	0.4	0.4667	151	15	15
Sulfate permease or related transporter, MFS superfamily (SUL1) (PDB:3NY7)!!!cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases (Crp) (PDB:1FT9)	11.786553253907659	0.0027579251838033376	0.015955945700616155	Medium	COG0659!!!COG0664	GC_00004126, GC_00016291	0.8675	0.5333	0.7333	151	15	15
Type IV secretory pathway, TrbF component (TrbF)	11.738180373171815	0.0028254427907267576	0.016269582663086063	Medium	COG3701	GC_00000602, GC_00021726	0.9338	0.6667	0.8667	151	15	15
Type IV secretory pathway, VirB9 components (VirB9)	11.738180373171815	0.0028254427907267576	0.016269582663086063	Medium	COG3504	GC_00003651, GC_00009169, GC_00010015, GC_00015244, GC_00018389, GC_00036028	0.9338	0.6667	0.8667	151	15	15
Short chain fatty acids transporter (AtoE)	11.7381803731718	0.002825442790726778	0.016269582663086063	Small, Large	COG2031	GC_00010349, GC_00052474	0.0662	0.1333	0.3333	151	15	15
Regulation of enolase protein 1 (function unknown), concanavalin A-like superfamily (Ree1) (PDB:3MEP)	11.727528918404749	0.002840530469538601	0.016296034595137614	Medium	COG3506	GC_00005312	0.7152	0.4667	0.3333	151	15	15
Forkhead associated (FHA) domain, binds pSer, pThr, pTyr (FHA) (PDB:2FEZ)	11.706871613463203	0.002870021359994232	0.016296034595137614	Large	COG1716	GC_00021243, GC_00025823	0.0265	0	0.2	151	15	15
Mu-like prophage tail protein gpP (PDB:3D37)	11.706871613463203	0.002870021359994232	0.016296034595137614	Large	COG4379	GC_00026143, GC_00027638, GC_00034749, GC_00046031	0.0265	0	0.2	151	15	15
Biotin transporter BioY (BioY) (PDB:4DVE)	11.706871613463203	0.002870021359994232	0.016296034595137614	Large	COG1268	GC_00035185, GC_00038249, GC_00049304, GC_00061496, GC_00066931	0.0265	0	0.2	151	15	15
DNA-binding winged helix-turn-helix (wHTH) domain (CadC1)!!!Predicted ATPase	11.706871613463193	0.002870021359994247	0.016296034595137614	Medium, Large	COG3710!!!COG3903	GC_00004832, GC_00004870, GC_00004989, GC_00007991, GC_00009403, GC_00009465, GC_00009559, GC_00009837, GC_00010395, GC_00010540, GC_00011488, GC_00011505, GC_00011532, GC_00011767, GC_00012433, GC_00012529, GC_00014602, GC_00016132, GC_00016472, GC_00016924, GC_00017457, GC_00017670, GC_00018851, GC_00020886, GC_00020904, GC_00021684, GC_00022258, GC_00022636, GC_00023198, GC_00023242, GC_00023243, GC_00025373, GC_00026595, GC_00026597, GC_00026598, GC_00027025, GC_00029177, GC_00031305, GC_00032801, GC_00033767, GC_00037074, GC_00037796, GC_00038332, GC_00038799, GC_00041929, GC_00041957, GC_00042885, GC_00043162, GC_00048500, GC_00052421, GC_00063821, GC_00068542, GC_00072351, GC_00073876, GC_00077248	0.9735	0.8	1	151	15	15
K+-transporting ATPase, KdpC subunit (KdpC) (PDB:5MRW)	11.706871613463193	0.002870021359994247	0.016296034595137614	Medium, Large	COG2156	GC_00002871	0.9735	0.8	1	151	15	15
DNA-binding transcriptional regulator AlpA (AlpA)	11.706871613463193	0.002870021359994247	0.016296034595137614	Medium, Large	COG3311	GC_00000334, GC_00010417, GC_00010684, GC_00012426, GC_00016724, GC_00017889, GC_00018132, GC_00018284, GC_00018825, GC_00020860, GC_00020996, GC_00024071, GC_00024547, GC_00024898, GC_00025554, GC_00026848, GC_00026955, GC_00027604, GC_00029120, GC_00031400, GC_00031456, GC_00031811, GC_00032187, GC_00032534, GC_00032877, GC_00034117, GC_00035650, GC_00037001, GC_00037532, GC_00038163, GC_00041786, GC_00042697, GC_00044588, GC_00045719, GC_00049093, GC_00051304, GC_00051448, GC_00051542, GC_00054172, GC_00054402, GC_00059623, GC_00062464, GC_00063671, GC_00066274, GC_00067069, GC_00067615, GC_00068048, GC_00068168, GC_00072542, GC_00078714	0.9735	0.8	1	151	15	15
K+-transporting ATPase, KdpA subunit (KdpA) (PDB:5MRW)	11.706871613463193	0.002870021359994247	0.016296034595137614	Medium, Large	COG2060	GC_00003246, GC_00054409	0.9735	0.8	1	151	15	15
K+ transport ATPase, ATPase subunit KdpB (KdpB) (PDB:5MRW)	11.706871613463193	0.002870021359994247	0.016296034595137614	Medium, Large	COG2216	GC_00003294	0.9735	0.8	1	151	15	15
Uncharacterized conserved protein, DUF1365 family	11.642890303923725	0.002963319601760234	0.016656874373318524	Small, Large	COG3496	GC_00007861, GC_00017691, GC_00033202, GC_00039036, GC_00039209, GC_00078021	0.2053	0.5333	0.4667	151	15	15
D-tyrosyl-tRNA(Tyr) deacylase (PDB:1YQE) (PUBMED:16844682)	11.640245451165747	0.002967240966057294	0.016656874373318524	Small, Large	COG1650	GC_00021485	0.0066	0.0667	0.1333	151	15	15
Fructose-1,6-bisphosphatase (Fbp2)	11.640245451165747	0.002967240966057294	0.016656874373318524	Small, Large	COG3855	GC_00028367, GC_00029370	0.0066	0.1333	0.0667	151	15	15
Glutamate-1-semialdehyde aminotransferase (HemL) (PDB:2CFB)!!!Acyl carrier protein (AcpP) (PDB:1ACP)!!!EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase (EntF) (PDB:5ES5)!!!Acyl transferase domain in polyketide synthase (PKS) enzymes (PksD) (PDB:6IYO)!!!Acyl carrier protein/domain (AcpA) (PDB:2FQ1) (PUBMED:8759840;20663952)	11.640245451165747	0.002967240966057294	0.016656874373318524	Small, Large	COG0001!!!COG0236!!!COG1020!!!COG3321!!!COG3433	GC_00020194	0.0066	0.1333	0.0667	151	15	15
Signal transduction histidine kinase (BaeS) (PDB:1JOY)!!!PAS domain (PAS) (PDB:2MWG)!!!GAF domain (GAF)	11.640245451165747	0.002967240966057294	0.016656874373318524	Small, Large	COG0642!!!COG2202!!!COG2203	GC_00020061	0.0066	0.1333	0.0667	151	15	15
Phage tail tape-measure protein, controls tail length (HI1514)	11.640245451165747	0.002967240966057294	0.016656874373318524	Small, Large	COG3941	GC_00026941, GC_00066205	0.0066	0.0667	0.1333	151	15	15
WD40 repeat (WD40) (PDB:3UVN)!!!Predicted ATPase	11.640245451165747	0.002967240966057294	0.016656874373318524	Small, Large	COG2319!!!COG3899	GC_00024192, GC_00070059	0.0066	0.1333	0.0667	151	15	15
Plasmid maintenance system antidote protein VapI, contains XRE-type HTH domain (VapI) (PDB:4MCT)	11.638453508819996	0.002969900719779257	0.016656874373318524	Medium	COG3093	GC_00006119, GC_00008967, GC_00010014, GC_00010133, GC_00010662, GC_00011733, GC_00018365, GC_00027086, GC_00030808, GC_00038146, GC_00046956, GC_00062590, GC_00062662, GC_00063308, GC_00066402, GC_00069707, GC_00072112, GC_00073361, GC_00079223	0.8808	0.6667	0.6	151	15	15
Nitrogen fixation protein NifT (NifT)	11.610282316140314	0.003012029550799652	0.016790462602329973	Medium, Large	COG5554	GC_00004367	0.8278	0.4667	0.8667	151	15	15
Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfC subunit (RnfC)	11.610282316140314	0.003012029550799652	0.016790462602329973	Medium, Large	COG4656	GC_00004465	0.8278	0.4667	0.8667	151	15	15
Ferredoxin-like protein FixX (FixX)	11.610282316140314	0.003012029550799652	0.016790462602329973	Medium, Large	COG2440	GC_00004369, GC_00019234, GC_00024653	0.8278	0.4667	0.8667	151	15	15
FhlA-type transcriptional regulator, contains GAF, AAA-type ATPase, and DNA-binding Fis domains (FhlA)	11.610282316140314	0.003012029550799652	0.016790462602329973	Medium, Large	COG3604	GC_00004168, GC_00029004, GC_00029950, GC_00034488, GC_00074531	0.8278	0.4667	0.8667	151	15	15
Alkaline phosphatase (PhoA) (PDB:1AJA)	11.582573555998668	0.0030540497628505727	0.016998868786245677	Small, Large	COG1785	GC_00007851	0.1656	0.5333	0.2	151	15	15
Transposase InsE and inactivated derivatives (InsE) (PDB:2JN6) (PUBMED:23818957)	11.489828021271453	0.0031990096206199817	0.01727484029109774	Small, Large	COG2963	GC_00007038, GC_00007529, GC_00007921, GC_00007923, GC_00008117, GC_00008589, GC_00008876, GC_00008997, GC_00009166, GC_00009800, GC_00010257, GC_00010529, GC_00011329, GC_00011371, GC_00011417, GC_00011668, GC_00011754, GC_00012569, GC_00012893, GC_00013372, GC_00013520, GC_00013620, GC_00013977, GC_00014175, GC_00014249, GC_00014581, GC_00015185, GC_00017213, GC_00017460, GC_00017470, GC_00017559, GC_00017826, GC_00018219, GC_00018753, GC_00019813, GC_00020390, GC_00020754, GC_00020790, GC_00021176, GC_00022388, GC_00024660, GC_00026535, GC_00028322, GC_00028752, GC_00028906, GC_00029248, GC_00029396, GC_00039123, GC_00039235, GC_00043521, GC_00046625, GC_00055397, GC_00065897, GC_00071719, GC_00072891, GC_00076946, GC_00076955, GC_00077330	0.6623	0.9333	1	151	15	15
Periplasmic deferrochelatase/peroxidase EfeB (EfeB) (PDB:2D3Q)	11.478472784220685	0.003217224035224811	0.01727484029109774	Small, Large	COG2837	GC_00009479, GC_00013044, GC_00013092, GC_00014963, GC_00016285, GC_00017707, GC_00018541, GC_00018640, GC_00019621, GC_00022332, GC_00027764, GC_00033034, GC_00036065, GC_00037295, GC_00038228, GC_00039641, GC_00041559, GC_00043878, GC_00050770, GC_00052763, GC_00053325, GC_00057892, GC_00058578	0.2517	0.3333	0.6667	151	15	15
Glycine/D-amino acid oxidase (deaminating) (DadA) (PDB:3AWI)!!!Rieske Fe-S protein (QcrA/PetC) (PDB:5CXM) (PUBMED:27663073)	11.295933757776787	0.003524675587428103	0.01727484029109774	Medium	COG0665!!!COG0723	GC_00005867, GC_00008502	0.7417	0.4	0.4667	151	15	15
Uncharacterized conserved protein, contains restriction enzyme R protein N terminal (HSDR_N) domain	11.261592179176322	0.003585719636721126	0.01727484029109774	Small, Large	COG4748	GC_00016824	0.0132	0.1333	0.1333	151	15	15
Maleate cis-trans isomerase (PDB:2DGD)	11.228326474929508	0.003645859140462337	0.01727484029109774	Medium	COG3473	GC_00006717, GC_00007093, GC_00018987, GC_00021594, GC_00025277, GC_00026795, GC_00027247, GC_00030182, GC_00035833, GC_00036249, GC_00036844, GC_00037347, GC_00043047, GC_00062375, GC_00064261, GC_00070883	0.9338	0.7333	0.7333	151	15	15
Uncharacterized conserved protein, glycosyltransferase A (GT-A) superfamily, DUF2064 family (PDB:3CGX)	11.226096503673972	0.003649926488100525	0.01727484029109774	Large	COG3222	GC_00010725	0.053	0	0.2667	151	15	15
Uncharacterized coiled-coil protein SlyX (sensitive to lysis X) (SlyX) (PDB:3EFG)	11.205047557799684	0.0036885428928571614	0.01727484029109774	Small, Large	COG2900	GC_00004788	0.7152	1	1	151	15	15
Serine/threonine protein kinase HipA, toxin component of the HipAB toxin-antitoxin module (HipA) (PDB:2WIU)	11.173189743348857	0.0037477677921009195	0.01727484029109774	Medium, Large	COG3550	GC_00002981, GC_00005301, GC_00005528, GC_00006048, GC_00006845, GC_00010102, GC_00010911, GC_00012280, GC_00012303, GC_00013787, GC_00014321, GC_00016111, GC_00017981, GC_00022962, GC_00022963, GC_00024394, GC_00028250, GC_00029011, GC_00037195, GC_00045832, GC_00048503, GC_00058288, GC_00061081, GC_00063651, GC_00071631, GC_00073327	0.894	0.6	0.9333	151	15	15
Periplasmic chaperone Spy, Spy/CpxP family (CpxP) (PDB:3ITF)	11.173189743348837	0.0037477677921009564	0.01727484029109774	Small	COG3678	GC_00010687, GC_00012912	0.106	0.4	0.0667	151	15	15
Di- and tricarboxylate antiporter (CitT) (PDB:4F35)	11.161145890577941	0.0037704046642357105	0.01727484029109774	Medium	COG0471	GC_00004511, GC_00005956, GC_00006156, GC_00021114, GC_00021756, GC_00028985, GC_00031925, GC_00033355, GC_00034552, GC_00036809, GC_00037846	0.8675	0.5333	0.8	151	15	15
Predicted protein tyrosine phosphatase	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Small	COG5350	GC_00002850, GC_00014458, GC_00048772, GC_00064565	1	1	0.9333	151	15	15
Uncharacterized conserved protein, DUF58 family, contains vWF domain (YeaD2)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG1721	GC_00002904, GC_00010473	1	0.9333	1	151	15	15
Uncharacterized conserved protein YeaH/YhbH, required for sporulation, DUF444 family (YeaH)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Small	COG2718	GC_00001117	1	1	0.9333	151	15	15
Trans-aconitate methyltransferase (Tam) (PDB:2P35)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG4106	GC_00003336, GC_00004389, GC_00006126, GC_00021079, GC_00024091, GC_00024092, GC_00025110, GC_00029315, GC_00033242, GC_00034277, GC_00037164, GC_00045822, GC_00052747, GC_00055195, GC_00055748, GC_00065693, GC_00078904	1	0.9333	1	151	15	15
Lipoprotein signal peptidase (LspA) (PDB:5DIR)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG0597	GC_00002909, GC_00014611, GC_00028118	1	0.9333	1	151	15	15
Lysozyme inhibitor LprI (LprI) (PUBMED:18369469;26589796)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG4461	GC_00001366, GC_00011349, GC_00044760, GC_00050037	1	0.9333	1	151	15	15
ABC-type tungstate transport system, periplasmic component (TupA)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Small	COG4662	GC_00002149, GC_00050650	1	1	0.9333	151	15	15
Serine/threonine protein kinase (SPS1) (PDB:6G4J)!!!Nucleotide-binding universal stress protein,  UspA family (UspA) (PDB:1JMV)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG0515!!!COG0589	GC_00000140	1	0.9333	1	151	15	15
Signal transduction histidine kinase regulating C4-dicarboxylate transport system (PDB:4GCZ)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG4191	GC_00003888, GC_00005465, GC_00009024, GC_00009175, GC_00009287, GC_00010341, GC_00010959, GC_00011795, GC_00012487, GC_00013328, GC_00014589, GC_00015725, GC_00021225, GC_00023535, GC_00024896, GC_00027011, GC_00027161, GC_00028104, GC_00029265, GC_00029559, GC_00032146, GC_00033003, GC_00038852, GC_00042166, GC_00044896, GC_00046401, GC_00046484, GC_00047647, GC_00048200, GC_00049305, GC_00052150, GC_00054858, GC_00056594, GC_00057768, GC_00061478	1	0.9333	1	151	15	15
Purine nucleoside phosphorylase (XapA) (PDB:1YQQ)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG0005	GC_00002854	1	0.9333	1	151	15	15
5-methylthioribose/5-deoxyribulose 1-phosphate isomerase (methionine salvage pathway), a paralog of eIF-2B alpha subunit (MtnA) (PDB:1T5O) (PUBMED:31950558)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG0182	GC_00002890	1	0.9333	1	151	15	15
4-hydroxy-tetrahydrodipicolinate reductase (DapB) (PDB:1ARZ) (PUBMED:29684280)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG0289	GC_00001778, GC_00033313	1	0.9333	1	151	15	15
