COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Medium	p_Small	p_Large	N_Medium	N_Small	N_Large
Spore cortex hydrolase SleL/YaaH, N-acetylglucosaminidase of GH18 family (SleL) (PDB:4S3J)	2.6646218025914856	0.26386678609963216	0.6978106499015506	Large	COG3858	GC_00026428	0.0132	0	0.0667	151	15	15
Phage DNA packaging protein, Nu1 subunit of terminase (Nu1) (PDB:1J9I)	2.6646218025914856	0.26386678609963216	0.6978106499015506	Large	COG4220	GC_00032990, GC_00037853	0.0132	0	0.0667	151	15	15
Tetratricopeptide (TPR) repeat (TPR) (PDB:3AS4)!!!Predicted RNA methylase	2.6646218025914856	0.26386678609963216	0.6978106499015506	Large	COG0457!!!COG4076	GC_00027776	0.0132	0	0.0667	151	15	15
Aromatic ring-opening dioxygenase, LigB subunit	2.6646218025914856	0.26386678609963216	0.6978106499015506	Large	COG3885	GC_00027583	0.0132	0	0.0667	151	15	15
PIN domain nuclease, a component of toxin-antitoxin system (PIN domain)	2.6646218025914856	0.26386678609963216	0.6978106499015506	Small	COG3744	GC_00038343, GC_00075536	0.0132	0.0667	0	151	15	15
Lysophospholipase, alpha-beta hydrolase superfamily (PldB) (PDB:5O7G)!!!Acid resistance membrane protein HdeD, DUF308 family (HdeD) (PUBMED:12694615;28802266)	2.6646218025914856	0.26386678609963216	0.6978106499015506	Large	COG2267!!!COG3247	GC_00026784	0.0132	0	0.0667	151	15	15
TPR repeat (TPR) (PDB:1KLX)!!!Chromosome segregation ATPase Smc (Smc) (PDB:5XG3)	2.6646218025914856	0.26386678609963216	0.6978106499015506	Small	COG0790!!!COG1196	GC_00026139	0.0132	0.0667	0	151	15	15
dTDP-4-amino-4,6-dideoxygalactose transaminase (WecE) (PDB:4PIW) (PUBMED:15271350)!!!Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG (UbiE) (PDB:4OBW)	2.6646218025914856	0.26386678609963216	0.6978106499015506	Large	COG0399!!!COG2226	GC_00034626, GC_00046238	0.0132	0	0.0667	151	15	15
Ca2+-binding protein, RTX toxin-related (PDB:1AF0) (PUBMED:15135544)!!!Exo-beta-1,3-glucanase,  GH17 family (Scw11)	2.6646218025914856	0.26386678609963216	0.6978106499015506	Small	COG2931!!!COG5309	GC_00037986, GC_00053344	0.0132	0.0667	0	151	15	15
Adenine deaminase (AdeC) (PDB:3NQB)	2.6487641940765663	0.26596725027735946	0.7003953692178856	Medium	COG1001	GC_00004339, GC_00005361, GC_00014574, GC_00018612, GC_00028909	0.8543	0.7333	0.7333	151	15	15
Predicted methyltransferase	2.648764194076561	0.2659672502773602	0.7003953692178856	Small, Large	COG4798	GC_00009687, GC_00011696, GC_00038093, GC_00063754	0.1457	0.2667	0.2667	151	15	15
Adenylate cyclase, class 3 (AcyC) (PDB:1AB8)!!!Cytochrome c-type biogenesis protein CcmH/NrfG (NrfG)!!!Flp pilus assembly protein TadD, contains TPR repeats (TadD) (PDB:3WXX)!!!TolB amino-terminal domain (function unknown) (TolBN) (PDB:1C5K) (PUBMED:10673426;24821816)	2.644291680542568	0.26656268686700335	0.7003953692178856	Small	COG2114!!!COG4235!!!COG5010!!!COG5616	GC_00013091	0.053	0.1333	0	151	15	15
Acyl-homoserine lactone (AHL) acylase PvdQ (PvdQ) (PDB:4HST)	2.644291680542568	0.26656268686700335	0.7003953692178856	Large	COG2366	GC_00014551, GC_00043357, GC_00051160, GC_00076296	0.053	0	0.1333	151	15	15
Carbamate kinase (ArcC) (PDB:2E9Y)	2.644291680542568	0.26656268686700335	0.7003953692178856	Small	COG0549	GC_00012850	0.053	0.1333	0	151	15	15
DNA polymerase I, 3'-5' exonuclease and polymerase domains (PolA) (PDB:1D8Y)	2.644291680542568	0.26656268686700335	0.7003953692178856	Large	COG0749	GC_00032428, GC_00050535, GC_00054220, GC_00060530, GC_00061583, GC_00071683, GC_00073474, GC_00077362, GC_00077667	0.053	0	0.1333	151	15	15
Methionyl-tRNA formyltransferase (Fmt) (PDB:1FMT)!!!EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase (EntF) (PDB:5ES5)	2.644291680542568	0.26656268686700335	0.7003953692178856	Small	COG0223!!!COG1020	GC_00013593, GC_00031617	0.053	0.1333	0	151	15	15
Adenylate cyclase, class 3 (AcyC) (PDB:1AB8)!!!Cytochrome c-type biogenesis protein CcmH/NrfG (NrfG)!!!TolB amino-terminal domain (function unknown) (TolBN) (PDB:1C5K) (PUBMED:10673426;24821816)	2.644291680542568	0.26656268686700335	0.7003953692178856	Large	COG2114!!!COG4235!!!COG5616	GC_00013101	0.053	0	0.1333	151	15	15
DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains (CitB) (PDB:1A04)!!!Predicted ATPase	2.644291680542568	0.26656268686700335	0.7003953692178856	Large	COG2197!!!COG3899	GC_00013010	0.053	0	0.1333	151	15	15
Uracil phosphoribosyltransferase (Upp) (PDB:2EHJ)	2.629184924700858	0.2685837589319675	0.7011852154892945	Medium	COG0035	GC_00003656, GC_00003759	0.9603	0.8667	0.9333	151	15	15
Peptide deformylase (Def) (PDB:1BS4)	2.629184924700858	0.2685837589319675	0.7011852154892945	Medium	COG0242	GC_00003524, GC_00021054	0.9603	0.9333	0.8667	151	15	15
Uncharacterized conserved protein, DUF885 family (PDB:3IUK)	2.6291849247008545	0.268583758931968	0.7011852154892945	Small, Large	COG4805	GC_00012324	0.0397	0.1333	0.0667	151	15	15
Isopenicillin N synthase and related dioxygenases (PcbC) (PDB:1BK0)	2.6291849247008545	0.268583758931968	0.7011852154892945	Small, Large	COG3491	GC_00021642, GC_00026713, GC_00032315, GC_00032316, GC_00037204, GC_00047573, GC_00055223, GC_00061987	0.0397	0.0667	0.1333	151	15	15
Mannose-6-phosphate isomerase, cupin superfamily (ManC) (PDB:1IPJ)!!!AraC-type DNA-binding domain and AraC-containing proteins (AraC) (PDB:1BL0)	2.6291849247008545	0.268583758931968	0.7011852154892945	Small, Large	COG0662!!!COG2207	GC_00014134, GC_00055282	0.0397	0.1333	0.0667	151	15	15
Uncharacterized conserved protein, DUF2075 family (BH3996) (PUBMED:15547281)	2.6291849247008545	0.268583758931968	0.7011852154892945	Small, Large	COG3410	GC_00018258, GC_00022244, GC_00025480, GC_00035206	0.0397	0.0667	0.1333	151	15	15
DNAse/DNA nickase specific for phosphorothioated or glycosylated phage DNA, GmrSD/DndB/SspE family, contains DUF262 and HNH nuclease domains (GmrSD) (PDB:6JIV) (PUBMED:17188297;32251370)!!!Uncharacterized conserved protein domain, often C-terminal to DUF262	2.6291849247008545	0.268583758931968	0.7011852154892945	Small, Large	COG1479!!!COG3472	GC_00025454, GC_00035286, GC_00041165, GC_00042245, GC_00053837, GC_00057695, GC_00075206, GC_00078054	0.0397	0.0667	0.1333	151	15	15
Penicillin V acylase or related amidase, Ntn superfamily (YxeI) (PDB:2BJF)	2.6291849247008545	0.268583758931968	0.7011852154892945	Small, Large	COG3049	GC_00015639, GC_00041136, GC_00044055, GC_00047414, GC_00064750	0.0397	0.0667	0.1333	151	15	15
HD superfamily phosphohydrolase (YdhJ) (PDB:2HEK)	2.6291849247008545	0.268583758931968	0.7011852154892945	Small, Large	COG1078	GC_00030374, GC_00030852, GC_00055452, GC_00067935, GC_00069459, GC_00076255, GC_00076360, GC_00077709, GC_00077934	0.0397	0.1333	0.0667	151	15	15
Large exoprotein involved in heme utilization or adhesion (FhaB) (PDB:4RM6)	2.627744076231097	0.2687773228967112	0.7011914796480346	Medium	COG3210	GC_00006361, GC_00006685, GC_00006750, GC_00009246, GC_00011798, GC_00014273, GC_00015504, GC_00015636, GC_00016202, GC_00016887, GC_00017446, GC_00018274, GC_00020022, GC_00020294, GC_00020499, GC_00020744, GC_00020906, GC_00021501, GC_00021626, GC_00022254, GC_00022275, GC_00022780, GC_00024160, GC_00024838, GC_00026048, GC_00026254, GC_00026534, GC_00026868, GC_00027259, GC_00028943, GC_00029437, GC_00029438, GC_00029439, GC_00030519, GC_00032135, GC_00032858, GC_00032965, GC_00033118, GC_00033627, GC_00034045, GC_00034211, GC_00036772, GC_00039247, GC_00040380, GC_00042876, GC_00043743, GC_00044322, GC_00044387, GC_00045219, GC_00045474, GC_00046601, GC_00050170, GC_00050346, GC_00052746, GC_00055227, GC_00057613, GC_00058096, GC_00058144, GC_00059020, GC_00063280, GC_00070854, GC_00071901, GC_00072338, GC_00072383, GC_00073262, GC_00073311, GC_00075311, GC_00075647	0.9205	0.8	0.8667	151	15	15
