COG20_CATEGORY	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Medium	p_Small	p_Large	N_Medium	N_Small	N_Large
Secondary metabolites biosynthesis, transport and catabolism!!!Intracellular trafficking, secretion, and vesicular transport!!!Extracellular structures	13.715781055672878	0.0010511289227793034	0.005631047800603411	Small	Q!!!U!!!W	GC_00041580, GC_00063363, GC_00077445	0.0066	0.1333	0	151	15	15
Carbohydrate transport and metabolism!!!Inorganic ion transport and metabolism	13.431316894369361	0.0012117878508797184	0.006415347445833804	Small, Large	G!!!P	GC_00007889	0.1589	0.3333	0.5333	151	15	15
Posttranslational modification, protein turnover, chaperones!!!Posttranslational modification, protein turnover, chaperones	12.999770312650252	0.0015036118633743052	0.0077773027415912336	Medium	O!!!O	GC_00004130, GC_00011063, GC_00028871, GC_00038493	0.8477	0.8	0.4667	151	15	15
General function prediction only!!!Energy production and conversion	12.999770312650252	0.0015036118633743052	0.0077773027415912336	Medium	R!!!C	GC_00004372	0.8477	0.4667	0.8	151	15	15
Amino acid transport and metabolism!!!Signal transduction mechanisms!!!Signal transduction mechanisms!!!Transcription!!!Signal transduction mechanisms	12.660491986866544	0.0017815954544099018	0.009110431300959725	Large	E!!!T!!!T!!!K!!!T	GC_00012503	0.0464	0	0.2667	151	15	15
Signal transduction mechanisms!!!Signal transduction mechanisms!!!Nucleotide transport and metabolism	12.211879365325977	0.00222958528275673	0.01114792641378365	Medium	T!!!T!!!F	GC_00002705	0.9669	0.8	0.8	151	15	15
Signal transduction mechanisms!!!Transcription!!!Signal transduction mechanisms!!!Transcription	12.211879365325977	0.00222958528275673	0.01114792641378365	Medium	T!!!K!!!T!!!K	GC_00003476	0.9669	0.8	0.8	151	15	15
Nucleotide transport and metabolism!!!Posttranslational modification, protein turnover, chaperones	12.028590040096761	0.00244357042563096	0.012083590016856395	Large	F!!!O	GC_00016691, GC_00021822, GC_00026440, GC_00028116, GC_00032164, GC_00042072, GC_00069649, GC_00071646	0.0795	0	0.3333	151	15	15
Replication, recombination and repair!!!Cell cycle control, cell division, chromosome partitioning	11.791627914311569	0.002750936287258451	0.013455666622459814	Small, Large	L!!!D	GC_00010786, GC_00011529, GC_00012367, GC_00017112, GC_00017113, GC_00020905, GC_00021170, GC_00025734, GC_00051677, GC_00057492, GC_00063316, GC_00066785, GC_00068843, GC_00078276	0.1589	0.4	0.4667	151	15	15
Transcription!!!Mobilome: prophages, transposons	11.706871613463193	0.002870021359994247	0.013887200129004422	Medium, Large	K!!!X	GC_00000334, GC_00010417, GC_00010684, GC_00012426, GC_00016724, GC_00017889, GC_00018132, GC_00018284, GC_00018825, GC_00020860, GC_00020996, GC_00024071, GC_00024547, GC_00024898, GC_00025554, GC_00026848, GC_00026955, GC_00027604, GC_00029120, GC_00031400, GC_00031456, GC_00031811, GC_00032187, GC_00032534, GC_00032877, GC_00034117, GC_00035650, GC_00037001, GC_00037532, GC_00038163, GC_00041786, GC_00042697, GC_00044588, GC_00045719, GC_00049093, GC_00051304, GC_00051448, GC_00051542, GC_00054172, GC_00054402, GC_00059623, GC_00062464, GC_00063671, GC_00066274, GC_00067069, GC_00067615, GC_00068048, GC_00068168, GC_00072542, GC_00078714	0.9735	0.8	1	151	15	15
