COG20_CATEGORY	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Medium	p_Small	p_Large	N_Medium	N_Small	N_Large
Amino acid transport and metabolism!!!Signal transduction mechanisms	0	1	1	NA	E!!!T	GC_00000025, GC_00000636, GC_00001074, GC_00001299, GC_00002115, GC_00002767, GC_00003369, GC_00003430, GC_00003432, GC_00003482, GC_00003623, GC_00004493, GC_00004728, GC_00004818, GC_00004916, GC_00005202, GC_00005341, GC_00006574, GC_00007874, GC_00008158, GC_00008271, GC_00008369, GC_00008446, GC_00008465, GC_00009148, GC_00009449, GC_00009464, GC_00009852, GC_00009933, GC_00010038, GC_00010389, GC_00010427, GC_00010744, GC_00011889, GC_00012213, GC_00012322, GC_00012377, GC_00012471, GC_00013072, GC_00013616, GC_00014427, GC_00014670, GC_00016732, GC_00018498, GC_00018805, GC_00018834, GC_00019135, GC_00019167, GC_00019168, GC_00020633, GC_00020655, GC_00021121, GC_00021528, GC_00022104, GC_00022869, GC_00024416, GC_00025628, GC_00026191, GC_00026203, GC_00026699, GC_00027277, GC_00027338, GC_00028076, GC_00028344, GC_00029175, GC_00030260, GC_00031425, GC_00032039, GC_00032377, GC_00032758, GC_00032842, GC_00033584, GC_00034145, GC_00035573, GC_00036273, GC_00036739, GC_00036795, GC_00036832, GC_00036846, GC_00037536, GC_00039057, GC_00039381, GC_00040672, GC_00042452, GC_00044694, GC_00045438, GC_00045769, GC_00046116, GC_00048785, GC_00050192, GC_00050421, GC_00050455, GC_00052527, GC_00053116, GC_00057119, GC_00057419, GC_00059008, GC_00059367, GC_00060121, GC_00061467, GC_00064334, GC_00065719, GC_00066578, GC_00067653, GC_00068620, GC_00070381, GC_00071076, GC_00071621, GC_00072085, GC_00072485, GC_00075352, GC_00075953, GC_00075986	1	1	1	151	15	15
Energy production and conversion!!!Coenzyme transport and metabolism!!!General function prediction only	0	1	1	NA	C!!!H!!!R	GC_00001303, GC_00002014, GC_00002417, GC_00006840, GC_00021685, GC_00025296, GC_00025361, GC_00027100, GC_00028131, GC_00035212, GC_00049801, GC_00051373	1	1	1	151	15	15
Cell wall/membrane/envelope biogenesis!!!Cell wall/membrane/envelope biogenesis	0	1	1	NA	M!!!M	GC_00000151, GC_00000833, GC_00001822, GC_00004361, GC_00006103, GC_00007601, GC_00014830, GC_00017506, GC_00017876, GC_00020272, GC_00026328, GC_00027365, GC_00027923, GC_00028259, GC_00028523, GC_00030069, GC_00030403, GC_00031495, GC_00032539, GC_00041370, GC_00045128, GC_00047496, GC_00053928, GC_00054419, GC_00059300, GC_00063930, GC_00063931, GC_00064089, GC_00064406, GC_00065872, GC_00069390, GC_00072710, GC_00073492, GC_00074610, GC_00076910, GC_00079114	1	1	1	151	15	15
Cell motility!!!Signal transduction mechanisms	0	1	1	NA	N!!!T	GC_00002605, GC_00004072, GC_00012371, GC_00013343, GC_00023959, GC_00025308, GC_00025863, GC_00036490	1	1	1	151	15	15
Signal transduction mechanisms!!!Transcription!!!Signal transduction mechanisms	0	1	1	NA	T!!!K!!!T	GC_00002132, GC_00008496, GC_00009028, GC_00014470, GC_00018176, GC_00018556, GC_00019717, GC_00025791, GC_00031972, GC_00035269, GC_00053280, GC_00061394, GC_00063029, GC_00072956	1	1	1	151	15	15
Inorganic ion transport and metabolism!!!Inorganic ion transport and metabolism	0	1	1	NA	P!!!P	GC_00001360, GC_00002676, GC_00003200, GC_00003672, GC_00004278, GC_00006953, GC_00007059, GC_00008371, GC_00008534, GC_00009152, GC_00009230, GC_00017693, GC_00018308, GC_00022676, GC_00026375, GC_00027727, GC_00028210, GC_00031361, GC_00033169, GC_00034077, GC_00048264, GC_00056703, GC_00060473, GC_00064364, GC_00065516, GC_00066159	1	1	1	151	15	15
Energy production and conversion!!!Signal transduction mechanisms	0	1	1	NA	C!!!T	GC_00000715, GC_00053807, GC_00078187	1	1	1	151	15	15
Coenzyme transport and metabolism!!!General function prediction only!!!General function prediction only	0	1	1	NA	H!!!R!!!R	GC_00000226, GC_00010161, GC_00021891, GC_00036904, GC_00040929	1	1	1	151	15	15
Amino acid transport and metabolism!!!Nucleotide transport and metabolism	0	1	1	NA	E!!!F	GC_00000169, GC_00000733, GC_00001554, GC_00001627, GC_00011181, GC_00013360, GC_00027658, GC_00027782, GC_00036024, GC_00077352	1	1	1	151	15	15
Nucleotide transport and metabolism!!!Signal transduction mechanisms	0	1	1	NA	F!!!T	GC_00001933, GC_00002965, GC_00016319, GC_00029388, GC_00043011, GC_00043027, GC_00045482, GC_00046713, GC_00053104, GC_00055039, GC_00055521, GC_00057023, GC_00061829, GC_00062379, GC_00066091, GC_00066332, GC_00071342	1	1	1	151	15	15
Cell wall/membrane/envelope biogenesis!!!Defense mechanisms	0	1	1	NA	M!!!V	GC_00000535, GC_00000616, GC_00000821, GC_00000988, GC_00001284, GC_00001447, GC_00001478, GC_00001751, GC_00001992, GC_00002894, GC_00003001, GC_00003122, GC_00003485, GC_00003601, GC_00003851, GC_00004264, GC_00005180, GC_00005324, GC_00005992, GC_00006060, GC_00007117, GC_00007396, GC_00007434, GC_00008250, GC_00008380, GC_00008544, GC_00009218, GC_00009634, GC_00009934, GC_00010085, GC_00010585, GC_00011176, GC_00011214, GC_00011300, GC_00011862, GC_00012087, GC_00012112, GC_00012175, GC_00012691, GC_00012812, GC_00013085, GC_00013970, GC_00014095, GC_00014283, GC_00014695, GC_00014698, GC_00014940, GC_00015286, GC_00016411, GC_00016438, GC_00017152, GC_00017745, GC_00018052, GC_00019444, GC_00019827, GC_00020214, GC_00021510, GC_00022196, GC_00022292, GC_00022877, GC_00023081, GC_00025335, GC_00025610, GC_00026968, GC_00029066, GC_00029417, GC_00030084, GC_00030786, GC_00030918, GC_00031833, GC_00031958, GC_00033000, GC_00033165, GC_00033262, GC_00033263, GC_00033264, GC_00033436, GC_00034017, GC_00034255, GC_00034422, GC_00034997, GC_00035357, GC_00040977, GC_00041335, GC_00042993, GC_00045350, GC_00046535, GC_00047214, GC_00048734, GC_00050270, GC_00053247, GC_00053339, GC_00055154, GC_00056115, GC_00057009, GC_00057226, GC_00058136, GC_00058245, GC_00060119, GC_00061677, GC_00063695, GC_00063700, GC_00065318, GC_00067666, GC_00068001, GC_00068229, GC_00070742, GC_00072814, GC_00077678, GC_00078530	1	1	1	151	15	15
Inorganic ion transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism	0	1	1	NA	P!!!Q	GC_00000703, GC_00003761, GC_00008290, GC_00008907, GC_00008949, GC_00009171, GC_00010790, GC_00011081, GC_00011584, GC_00012917, GC_00013429, GC_00023475, GC_00025861, GC_00026322, GC_00029131, GC_00033413, GC_00035564, GC_00035625, GC_00038679, GC_00046075, GC_00054491, GC_00056793, GC_00059741, GC_00063718, GC_00065711, GC_00066879, GC_00072335	1	1	1	151	15	15
General function prediction only!!!Signal transduction mechanisms!!!Signal transduction mechanisms	0	1	1	NA	R!!!T!!!T	GC_00001790, GC_00004702, GC_00006211, GC_00006975, GC_00007118, GC_00009822, GC_00010399, GC_00010896, GC_00011384, GC_00012033, GC_00013369, GC_00013549, GC_00014416, GC_00014904, GC_00015137, GC_00015320, GC_00016993, GC_00017180, GC_00017362, GC_00017498, GC_00018571, GC_00019425, GC_00020680, GC_00020681, GC_00021494, GC_00021821, GC_00023007, GC_00023008, GC_00023110, GC_00023775, GC_00023855, GC_00024652, GC_00024873, GC_00025332, GC_00029535, GC_00030368, GC_00030542, GC_00030742, GC_00031071, GC_00031321, GC_00031436, GC_00035129, GC_00035130, GC_00036836, GC_00036999, GC_00038963, GC_00039251, GC_00039360, GC_00039361, GC_00039362, GC_00039949, GC_00044262, GC_00045045, GC_00047559, GC_00056563	1	1	1	151	15	15
Coenzyme transport and metabolism!!!Energy production and conversion!!!Energy production and conversion	0	1	1	NA	H!!!C!!!C	GC_00004044, GC_00006218, GC_00008462, GC_00009912, GC_00021914, GC_00024090, GC_00025416, GC_00025450, GC_00031584, GC_00060164	1	1	1	151	15	15
Translation, ribosomal structure and biogenesis!!!Translation, ribosomal structure and biogenesis	0	1	1	NA	J!!!J	GC_00001844	1	1	1	151	15	15
Cell wall/membrane/envelope biogenesis!!!Posttranslational modification, protein turnover, chaperones!!!Cell wall/membrane/envelope biogenesis	0	1	1	NA	M!!!O!!!M	GC_00002099, GC_00014869, GC_00036765	1	1	1	151	15	15
Translation, ribosomal structure and biogenesis!!!Posttranslational modification, protein turnover, chaperones	0	1	1	NA	J!!!O	GC_00001318, GC_00002388, GC_00002462, GC_00003691, GC_00004249, GC_00004879, GC_00005286, GC_00006219, GC_00006711, GC_00007459, GC_00008361, GC_00009182, GC_00011918, GC_00012559, GC_00013076, GC_00013814, GC_00014150, GC_00014374, GC_00014406, GC_00014563, GC_00015036, GC_00015053, GC_00015086, GC_00015945, GC_00016286, GC_00017617, GC_00017904, GC_00019165, GC_00024529, GC_00025027, GC_00026769, GC_00028380, GC_00031566, GC_00032577, GC_00036208, GC_00038336, GC_00043262, GC_00043845, GC_00045412, GC_00047229, GC_00049629, GC_00054649, GC_00055099, GC_00055180, GC_00056872, GC_00058999, GC_00060544, GC_00062671, GC_00067262, GC_00070531, GC_00071301, GC_00072343, GC_00073380, GC_00077442	1	1	1	151	15	15
Cell cycle control, cell division, chromosome partitioning!!!Cell motility	0	1	1	NA	D!!!N	GC_00000389, GC_00000575, GC_00001408, GC_00005792, GC_00006495, GC_00011842, GC_00012486, GC_00014436, GC_00014500, GC_00014676, GC_00014677, GC_00019763, GC_00019787, GC_00020842, GC_00021758, GC_00024291, GC_00025528, GC_00040729, GC_00043606, GC_00050273, GC_00051250, GC_00055870, GC_00058694, GC_00066760, GC_00067374, GC_00075363	1	1	1	151	15	15
Cell cycle control, cell division, chromosome partitioning!!!Lipid transport and metabolism	0	1	1	NA	D!!!I	GC_00001291, GC_00001338, GC_00002669, GC_00005313, GC_00006032, GC_00006304, GC_00006420, GC_00008478, GC_00009389, GC_00009811, GC_00009921, GC_00011958, GC_00013503, GC_00015095, GC_00016259, GC_00016468, GC_00017365, GC_00017651, GC_00018759, GC_00019083, GC_00020665, GC_00021103, GC_00024204, GC_00024811, GC_00025117, GC_00026365, GC_00026483, GC_00028932, GC_00033525, GC_00034523, GC_00042393, GC_00045599, GC_00046585, GC_00050064, GC_00051126, GC_00052336, GC_00052572, GC_00053049, GC_00053621, GC_00055609, GC_00057245, GC_00058497, GC_00062241, GC_00063588, GC_00063823, GC_00078764, GC_00079185	1	1	1	151	15	15
Coenzyme transport and metabolism	0	1	1	NA	H	GC_00000029, GC_00000078, GC_00000143, GC_00000154, GC_00000177, GC_00000178, GC_00000258, GC_00000299, GC_00000339, GC_00000470, GC_00000492, GC_00000553, GC_00000573, GC_00000627, GC_00000664, GC_00000691, GC_00000705, GC_00000717, GC_00000742, GC_00000771, GC_00000783, GC_00000790, GC_00000835, GC_00000895, GC_00000909, GC_00000923, GC_00000974, GC_00000989, GC_00001027, GC_00001063, GC_00001069, GC_00001094, GC_00001239, GC_00001264, GC_00001288, GC_00001297, GC_00001313, GC_00001354, GC_00001376, GC_00001386, GC_00001433, GC_00001435, GC_00001487, GC_00001488, GC_00001503, GC_00001522, GC_00001535, GC_00001538, GC_00001560, GC_00001585, GC_00001590, GC_00001606, GC_00001635, GC_00001647, GC_00001657, GC_00001680, GC_00001713, GC_00001756, GC_00001761, GC_00001796, GC_00001802, GC_00001806, GC_00001812, GC_00001826, GC_00001831, GC_00001958, GC_00001989, GC_00002020, GC_00002082, GC_00002088, GC_00002107, GC_00002108, GC_00002121, GC_00002142, GC_00002152, GC_00002159, GC_00002204, GC_00002317, GC_00002347, GC_00002349, GC_00002445, GC_00002472, GC_00002488, GC_00002507, GC_00002545, GC_00002547, GC_00002550, GC_00002560, GC_00002581, GC_00002585, GC_00002592, GC_00002595, GC_00002622, GC_00002648, GC_00002656, GC_00002681, GC_00002684, GC_00002699, GC_00002707, GC_00002716, GC_00002722, GC_00002738, GC_00002744, GC_00002746, GC_00002748, GC_00002776, GC_00002785, GC_00002828, GC_00002874, GC_00002898, GC_00002900, GC_00003000, GC_00003027, GC_00003050, GC_00003068, GC_00003080, GC_00003095, GC_00003118, GC_00003142, GC_00003159, GC_00003307, GC_00003355, GC_00003385, GC_00003421, GC_00003426, GC_00003467, GC_00003469, GC_00003497, GC_00003534, GC_00003586, GC_00003588, GC_00003592, GC_00003642, GC_00003729, GC_00003793, GC_00003815, GC_00003839, GC_00003903, GC_00003992, GC_00003999, GC_00004047, GC_00004071, GC_00004123, GC_00004132, GC_00004157, GC_00004160, GC_00004202, GC_00004208, GC_00004358, GC_00004695, GC_00004753, GC_00004770, GC_00004804, GC_00004842, GC_00004874, GC_00004971, GC_00004981, GC_00005072, GC_00005086, GC_00005099, GC_00005221, GC_00005430, GC_00005436, GC_00005584, GC_00005725, GC_00005758, GC_00005770, GC_00005797, GC_00005823, GC_00005871, GC_00005993, GC_00006024, GC_00006071, GC_00006074, GC_00006075, GC_00006081, GC_00006138, GC_00006143, GC_00006171, GC_00006172, GC_00006183, GC_00006184, GC_00006248, GC_00006273, GC_00006288, GC_00006312, GC_00006383, GC_00006385, GC_00006386, GC_00006471, GC_00006520, GC_00006587, GC_00006666, GC_00006725, GC_00006903, GC_00007147, GC_00007233, GC_00007264, GC_00007376, GC_00007547, GC_00007586, GC_00007687, GC_00007720, GC_00007886, GC_00007951, GC_00008020, GC_00008031, GC_00008046, GC_00008089, GC_00008133, GC_00008143, GC_00008174, GC_00008182, GC_00008251, GC_00008311, GC_00008332, GC_00008404, GC_00008424, GC_00008486, GC_00008491, GC_00008554, GC_00008579, GC_00008781, GC_00008824, GC_00008892, GC_00008943, GC_00008957, GC_00009014, GC_00009074, GC_00009153, GC_00009211, GC_00009231, GC_00009405, GC_00009556, GC_00009576, GC_00009760, GC_00009792, GC_00009853, GC_00009895, GC_00009898, GC_00009929, GC_00009940, GC_00009979, GC_00009989, GC_00010098, GC_00010123, GC_00010126, GC_00010159, GC_00010173, GC_00010226, GC_00010466, GC_00010498, GC_00010505, GC_00010561, GC_00010621, GC_00010643, GC_00010726, GC_00010748, GC_00010769, GC_00010770, GC_00010783, GC_00010793, GC_00010854, GC_00010907, GC_00010908, GC_00011013, GC_00011052, GC_00011138, GC_00011186, GC_00011316, GC_00011319, GC_00011340, GC_00011364, GC_00011471, GC_00011509, GC_00011555, GC_00011635, GC_00011824, GC_00011908, GC_00011932, GC_00011937, GC_00012142, GC_00012148, GC_00012154, GC_00012164, GC_00012209, GC_00012216, GC_00012230, GC_00012299, GC_00012358, GC_00012362, GC_00012575, GC_00012786, GC_00012787, GC_00012837, GC_00012996, GC_00013014, GC_00013047, GC_00013053, GC_00013078, GC_00013155, GC_00013196, GC_00013214, GC_00013241, GC_00013309, GC_00013410, GC_00013457, GC_00013493, GC_00013602, GC_00013639, GC_00013681, GC_00013712, GC_00013747, GC_00013973, GC_00014066, GC_00014300, GC_00014344, GC_00014404, GC_00014423, GC_00014441, GC_00014930, GC_00015007, GC_00015135, GC_00015161, GC_00015341, GC_00015382, GC_00015521, GC_00015649, GC_00015733, GC_00015759, GC_00015892, GC_00016068, GC_00016090, GC_00016144, GC_00016234, GC_00016373, GC_00016433, GC_00016479, GC_00016490, GC_00016522, GC_00016565, GC_00016650, GC_00016685, GC_00016704, GC_00016711, GC_00016716, GC_00016729, GC_00016751, GC_00016770, GC_00016791, GC_00016797, GC_00016844, GC_00016889, GC_00016896, GC_00016903, GC_00016906, GC_00016999, GC_00017005, GC_00017306, GC_00017353, GC_00017368, GC_00017455, GC_00017458, GC_00017537, GC_00017553, GC_00017573, GC_00017639, GC_00017646, GC_00017661, GC_00017680, GC_00017717, GC_00017735, GC_00017747, GC_00017780, GC_00017808, GC_00017830, GC_00017935, GC_00017959, GC_00017965, GC_00017969, GC_00018089, GC_00018194, GC_00018195, GC_00018211, GC_00018267, GC_00018300, GC_00018320, GC_00018481, GC_00018504, GC_00018529, GC_00018592, GC_00018688, GC_00018692, GC_00018752, GC_00018756, GC_00018833, GC_00018896, GC_00018977, GC_00019086, GC_00019111, GC_00019134, GC_00019142, GC_00019143, GC_00019153, GC_00019181, GC_00019542, GC_00019739, GC_00020028, GC_00020112, GC_00020159, GC_00020335, GC_00020463, GC_00020505, GC_00020616, GC_00020640, GC_00020670, GC_00020713, GC_00020824, GC_00020840, GC_00020846, GC_00020848, GC_00020868, GC_00020946, GC_00020973, GC_00021174, GC_00021199, GC_00021204, GC_00021316, GC_00021328, GC_00021348, GC_00021352, GC_00021360, GC_00021396, GC_00021479, GC_00021519, GC_00021568, GC_00021580, GC_00021604, GC_00021675, GC_00021702, GC_00021745, GC_00021747, GC_00021806, GC_00021868, GC_00021916, GC_00022165, GC_00022197, GC_00022276, GC_00022357, GC_00022360, GC_00022372, GC_00022401, GC_00022516, GC_00022917, GC_00023215, GC_00023277, GC_00023284, GC_00023432, GC_00023701, GC_00023778, GC_00023957, GC_00024186, GC_00024226, GC_00024413, GC_00024508, GC_00024747, GC_00025031, GC_00025041, GC_00025165, GC_00025219, GC_00025226, GC_00025311, GC_00025339, GC_00025448, GC_00025500, GC_00025505, GC_00025593, GC_00025643, GC_00025676, GC_00025682, GC_00025718, GC_00025729, GC_00025898, GC_00025905, GC_00025945, GC_00025951, GC_00026009, GC_00026024, GC_00026045, GC_00026136, GC_00026178, GC_00026250, GC_00026258, GC_00026312, GC_00026362, GC_00026399, GC_00026405, GC_00026485, GC_00026512, GC_00026638, GC_00026671, GC_00026694, GC_00026718, GC_00026759, GC_00026831, GC_00026900, GC_00026914, GC_00026938, GC_00026976, GC_00027053, GC_00027264, GC_00027412, GC_00027594, GC_00027612, GC_00027643, GC_00027687, GC_00027765, GC_00027897, GC_00027918, GC_00027921, GC_00027986, GC_00028371, GC_00028375, GC_00028466, GC_00028624, GC_00028638, GC_00028671, GC_00028856, GC_00028908, GC_00028913, GC_00029025, GC_00029077, GC_00029189, GC_00029224, GC_00029349, GC_00029460, GC_00029461, GC_00029481, GC_00029526, GC_00029778, GC_00029936, GC_00029977, GC_00029984, GC_00029997, GC_00030080, GC_00030134, GC_00030198, GC_00030339, GC_00030340, GC_00030463, GC_00030507, GC_00030575, GC_00030711, GC_00030818, GC_00030834, GC_00030871, GC_00031148, GC_00031149, GC_00031176, GC_00031296, GC_00031331, GC_00031351, GC_00031644, GC_00031749, GC_00031929, GC_00031998, GC_00032043, GC_00032087, GC_00032215, GC_00032297, GC_00032350, GC_00032415, GC_00032445, GC_00032459, GC_00032493, GC_00032769, GC_00032770, GC_00032859, GC_00032867, GC_00032969, GC_00032999, GC_00033018, GC_00033107, GC_00033140, GC_00033146, GC_00033184, GC_00033231, GC_00033258, GC_00033261, GC_00033294, GC_00033297, GC_00033487, GC_00033556, GC_00033577, GC_00033603, GC_00033626, GC_00033643, GC_00033702, GC_00033779, GC_00034008, GC_00034097, GC_00034109, GC_00034110, GC_00034132, GC_00034306, GC_00034340, GC_00034355, GC_00034400, GC_00034450, GC_00034510, GC_00034563, GC_00034725, GC_00034825, GC_00034902, GC_00034928, GC_00034968, GC_00034983, GC_00034986, GC_00035002, GC_00035071, GC_00035150, GC_00035185, GC_00035296, GC_00035303, GC_00035318, GC_00035346, GC_00035409, GC_00035447, GC_00035448, GC_00035554, GC_00035667, GC_00035715, GC_00035765, GC_00036050, GC_00036079, GC_00036161, GC_00036234, GC_00036245, GC_00036323, GC_00036331, GC_00036372, GC_00036603, GC_00036645, GC_00036842, GC_00036906, GC_00036994, GC_00037030, GC_00037036, GC_00037061, GC_00037063, GC_00037075, GC_00037219, GC_00037231, GC_00037239, GC_00037292, GC_00037441, GC_00037505, GC_00037560, GC_00037632, GC_00037662, GC_00037882, GC_00037970, GC_00038001, GC_00038129, GC_00038166, GC_00038249, GC_00038312, GC_00038407, GC_00038411, GC_00038427, GC_00038460, GC_00038463, GC_00038491, GC_00038492, GC_00038545, GC_00038607, GC_00038677, GC_00038689, GC_00038810, GC_00038813, GC_00038942, GC_00039687, GC_00039806, GC_00039850, GC_00039896, GC_00040029, GC_00040091, GC_00040198, GC_00040256, GC_00040684, GC_00041088, GC_00041502, GC_00041548, GC_00041583, GC_00041693, GC_00041793, GC_00041934, GC_00041977, GC_00042011, GC_00042261, GC_00042290, GC_00042651, GC_00042711, GC_00042941, GC_00043012, GC_00043281, GC_00043615, GC_00043734, GC_00043800, GC_00044003, GC_00044190, GC_00044222, GC_00044265, GC_00044335, GC_00044372, GC_00044447, GC_00044510, GC_00044530, GC_00044556, GC_00044603, GC_00044645, GC_00044790, GC_00044948, GC_00045180, GC_00045326, GC_00045341, GC_00045352, GC_00045353, GC_00045537, GC_00045588, GC_00045643, GC_00045664, GC_00045666, GC_00045794, GC_00045887, GC_00045941, GC_00046003, GC_00046257, GC_00046336, GC_00046583, GC_00046842, GC_00046908, GC_00046969, GC_00047161, GC_00047167, GC_00047287, GC_00047564, GC_00047828, GC_00047919, GC_00048070, GC_00048129, GC_00048158, GC_00048401, GC_00048458, GC_00048523, GC_00048537, GC_00048646, GC_00048674, GC_00048807, GC_00048938, GC_00049000, GC_00049169, GC_00049304, GC_00049464, GC_00049606, GC_00049625, GC_00049707, GC_00049736, GC_00049957, GC_00050262, GC_00050319, GC_00050390, GC_00050673, GC_00050685, GC_00050731, GC_00050831, GC_00050949, GC_00051402, GC_00051545, GC_00051572, GC_00051746, GC_00051770, GC_00051843, GC_00051871, GC_00051906, GC_00052208, GC_00052313, GC_00052554, GC_00052586, GC_00052773, GC_00052776, GC_00052816, GC_00053015, GC_00053160, GC_00053196, GC_00053209, GC_00053240, GC_00053310, GC_00053416, GC_00053574, GC_00053684, GC_00053885, GC_00053937, GC_00054185, GC_00054207, GC_00054295, GC_00054434, GC_00054710, GC_00054785, GC_00054787, GC_00055206, GC_00055276, GC_00055299, GC_00055302, GC_00055503, GC_00055536, GC_00055598, GC_00055731, GC_00055754, GC_00055969, GC_00056086, GC_00056450, GC_00056540, GC_00056568, GC_00056584, GC_00056610, GC_00056614, GC_00056656, GC_00056675, GC_00056832, GC_00056973, GC_00057008, GC_00057093, GC_00057120, GC_00057415, GC_00057604, GC_00057663, GC_00057711, GC_00057783, GC_00058098, GC_00058232, GC_00058323, GC_00058388, GC_00058473, GC_00058476, GC_00058597, GC_00058702, GC_00058769, GC_00059121, GC_00059224, GC_00059396, GC_00059450, GC_00060013, GC_00060046, GC_00060112, GC_00060340, GC_00060348, GC_00060477, GC_00060559, GC_00060574, GC_00060581, GC_00060675, GC_00061179, GC_00061261, GC_00061411, GC_00061432, GC_00061496, GC_00061535, GC_00061577, GC_00061596, GC_00061718, GC_00061755, GC_00061827, GC_00061972, GC_00061997, GC_00062119, GC_00062281, GC_00062316, GC_00062401, GC_00062417, GC_00062463, GC_00062480, GC_00062486, GC_00062580, GC_00062764, GC_00062827, GC_00062831, GC_00062892, GC_00063159, GC_00063182, GC_00063368, GC_00063476, GC_00063592, GC_00063765, GC_00063767, GC_00063771, GC_00063953, GC_00064260, GC_00064361, GC_00064399, GC_00064424, GC_00064451, GC_00064462, GC_00064536, GC_00064604, GC_00064629, GC_00064713, GC_00065157, GC_00065212, GC_00065458, GC_00065462, GC_00065624, GC_00065756, GC_00065817, GC_00065945, GC_00066016, GC_00066034, GC_00066104, GC_00066125, GC_00066536, GC_00066652, GC_00066931, GC_00066945, GC_00067328, GC_00067422, GC_00067434, GC_00067445, GC_00067472, GC_00067744, GC_00067753, GC_00067828, GC_00068097, GC_00068110, GC_00068157, GC_00068381, GC_00068465, GC_00068588, GC_00068629, GC_00068970, GC_00069536, GC_00069548, GC_00069702, GC_00069766, GC_00069832, GC_00070220, GC_00070245, GC_00070316, GC_00070460, GC_00070467, GC_00070474, GC_00070717, GC_00070831, GC_00070876, GC_00070934, GC_00070984, GC_00071022, GC_00071042, GC_00071050, GC_00071075, GC_00071170, GC_00071215, GC_00071288, GC_00071432, GC_00071661, GC_00071929, GC_00071948, GC_00072202, GC_00072280, GC_00072439, GC_00072469, GC_00072638, GC_00072785, GC_00072794, GC_00072806, GC_00072848, GC_00072867, GC_00073566, GC_00073610, GC_00073663, GC_00073880, GC_00073941, GC_00073947, GC_00074010, GC_00074254, GC_00074291, GC_00074583, GC_00074625, GC_00074634, GC_00074895, GC_00075133, GC_00075303, GC_00075335, GC_00075501, GC_00075564, GC_00075606, GC_00075656, GC_00075910, GC_00076574, GC_00076934, GC_00077026, GC_00077317, GC_00077346, GC_00077413, GC_00077461, GC_00077477, GC_00077480, GC_00077928, GC_00077961, GC_00077988, GC_00078194, GC_00078232, GC_00078244, GC_00078266, GC_00078443, GC_00078485, GC_00078601, GC_00078659, GC_00078771, GC_00078836, GC_00078913, GC_00078962, GC_00079174, GC_00079198, GC_00079215	1	1	1	151	15	15
Transcription!!!Amino acid transport and metabolism	0	1	1	NA	K!!!E	GC_00001471, GC_00001531, GC_00003287, GC_00003743, GC_00004514, GC_00004562, GC_00005027, GC_00007494, GC_00009841, GC_00010141, GC_00011142, GC_00011494, GC_00011536, GC_00011547, GC_00013087, GC_00014455, GC_00015671, GC_00016798, GC_00017069, GC_00017824, GC_00018012, GC_00018595, GC_00021150, GC_00021416, GC_00021557, GC_00022562, GC_00024625, GC_00024792, GC_00026570, GC_00027146, GC_00027258, GC_00027714, GC_00029888, GC_00033827, GC_00034690, GC_00035089, GC_00037082, GC_00037253, GC_00037583, GC_00038059, GC_00039583, GC_00040950, GC_00043168, GC_00044539, GC_00048943, GC_00049603, GC_00049815, GC_00050423, GC_00050484, GC_00053703, GC_00056485, GC_00057743, GC_00058932, GC_00059028, GC_00063576, GC_00065660, GC_00065767, GC_00066490, GC_00067207, GC_00069060, GC_00071173, GC_00072353, GC_00072735, GC_00075600, GC_00076385, GC_00077918, GC_00078156	1	1	1	151	15	15
Secondary metabolites biosynthesis, transport and catabolism!!!Defense mechanisms	0	1	1	NA	Q!!!V	GC_00000031, GC_00000774, GC_00000932, GC_00001842, GC_00002009, GC_00002711, GC_00002932, GC_00003374, GC_00003511, GC_00006116, GC_00008365, GC_00008846, GC_00008852, GC_00008948, GC_00009472, GC_00010571, GC_00010674, GC_00010794, GC_00012783, GC_00012818, GC_00012874, GC_00014707, GC_00016852, GC_00016920, GC_00017972, GC_00018242, GC_00020312, GC_00021667, GC_00023301, GC_00026415, GC_00029847, GC_00029883, GC_00031138, GC_00032152, GC_00032887, GC_00033215, GC_00033368, GC_00034604, GC_00036422, GC_00037243, GC_00037545, GC_00037624, GC_00040513, GC_00047281, GC_00049187, GC_00049189, GC_00049852, GC_00051226, GC_00057480, GC_00061788, GC_00062867, GC_00065788, GC_00071104, GC_00071115, GC_00071242, GC_00076710, GC_00078682	1	1	1	151	15	15
