"catalogID","Latitude","Longitude","Evaporation - annual mean","Evaporation - average","Humidity - annual mean relative 3pm","Aridity index - annual mean","Precipitation - annual","Precipitation - annual mean","WorldClim: Precipitation - annual","WorldClim: Precipitation - coldest quarter","WorldClim: Precipitation - driest month","WorldClim: Precipitation - driest quarter","WorldClim: Precipitation - seasonality","WorldClim: Precipitation - warmest quarter","WorldClim: Precipitation - wettest month","WorldClim: Precipitation - wettest quarter","Temperature - annual max mean","Temperature - annual min mean","WorldClim: Temperature - annual mean","WorldClim: Temperature - annual range","WorldClim: Temperature - coldest month min","WorldClim: Temperature - coldest quarter mean","WorldClim: Temperature - diurnal range mean","WorldClim: Temperature - driest quarter mean","WorldClim: Temperature - isothermality","WorldClim: Temperature - seasonality","WorldClim: Temperature - warmest month max","WorldClim: Temperature - warmest quarter mean","WorldClim: Temperature - wettest quarter mean","Lithology - mean age","Carbon - organic","Lithology - fertility","Nutrient status","Gross Primary Productivity","NDVI Mean","Fraction of Photosynthetically Active Radiation","NPP Mean"
12450,-30.20116196,149.597435,170.78542,14236,60.849037,0.31753522,46.963333,46.963333,644,116,34,115,34,235,100,235,28.230833,13.105833,190,301,39,114,145,126,48,5697,340,260,260,0.11193429,0.88042647,6,2,0.0268,46,71,5
12459,-35.42356667,148.7989167,109.72417,21754,77.81334,1.2360399,88.3225,88.3225,1207,367,70,227,22,227,144,385,15.941667,5.2258334,90,265,-29,24,119,156,44,5156,236,156,32,2.6226802,4.667675,6,1.3,0.0693,75,90,15
12461,-35.42373333,148.7975833,109.72417,21754,77.81334,1.2360399,88.3225,88.3225,1207,367,70,227,22,227,144,385,15.941667,5.2258334,90,265,-29,24,119,156,44,5156,236,156,32,2.6226802,4.667675,6,1.3,0.07,75,89,15
12463,-35.42388333,148.7978833,109.72417,21754,77.81334,1.2360399,88.3225,88.3225,1207,367,70,227,22,227,144,385,15.941667,5.2258334,90,265,-29,24,119,156,44,5156,236,156,32,2.6226802,4.667675,6,1.3,0.07,75,89,15
12465,-35.4214,148.79855,109.72417,21754,77.81334,1.2360399,88.3225,88.3225,1207,367,70,227,22,227,144,385,15.941667,5.2258334,90,265,-29,24,119,156,44,5156,236,156,32,2.6226802,4.667675,6,1.3,0.0693,75,90,15
12467,-35.42375,148.79595,109.72417,21754,77.81334,1.2360399,88.3225,88.3225,1207,367,70,227,22,227,144,385,15.941667,5.2258334,90,265,-29,24,119,156,44,5156,236,156,32,2.6226802,4.667675,6,1.3,0.07,75,89,15
12469,-35.4235,148.7968,109.72417,21754,77.81334,1.2360399,88.3225,88.3225,1207,367,70,227,22,227,144,385,15.941667,5.2258334,90,265,-29,24,119,156,44,5156,236,156,32,2.6226802,4.667675,6,1.3,0.07,75,89,15
12471,-35.42386667,148.7971667,109.72417,21754,77.81334,1.2360399,88.3225,88.3225,1207,367,70,227,22,227,144,385,15.941667,5.2258334,90,265,-29,24,119,156,44,5156,236,156,32,2.6226802,4.667675,6,1.3,0.07,75,89,15
12473,-35.42325,148.7967667,109.72417,21754,77.81334,1.2360399,88.3225,88.3225,1207,367,70,227,22,227,144,385,15.941667,5.2258334,90,265,-29,24,119,156,44,5156,236,156,32,2.6226802,4.667675,6,1.3,0.07,75,89,15
12475,-35.42385,148.7965833,109.72417,21754,77.81334,1.2360399,88.3225,88.3225,1207,367,70,227,22,227,144,385,15.941667,5.2258334,90,265,-29,24,119,156,44,5156,236,156,32,2.6226802,4.667675,6,1.3,0.07,75,89,15
12477,-35.42261667,148.7961,109.72417,21754,77.81334,1.2360399,88.3225,88.3225,1207,367,70,227,22,227,144,385,15.941667,5.2258334,90,265,-29,24,119,156,44,5156,236,156,32,2.6226802,4.667675,6,1.3,0.07,75,89,15
12479,-35.42318333,148.7963833,109.72417,21754,77.81334,1.2360399,88.3225,88.3225,1207,367,70,227,22,227,144,385,15.941667,5.2258334,90,265,-29,24,119,156,44,5156,236,156,32,2.6226802,4.667675,6,1.3,0.07,75,89,15
12481,-32.526047,142.219292,187.64874,5820,56.517914,0.13386944,19.3275,19.3275,258,55,16,55,16,67,29,72,27.360834,12.8175,184,290,46,113,137,113,47,5472,336,253,249,-1.4173685,0.26325795,3.5,1.85,0.0087,17,27,2
12483,-29.055658,141.898047,240.95667,4310,49.376965,0.08215491,17.683334,17.683334,210,45,7,36,36,74,29,78,29.256666,15.918333,205,308,51,122,136,138,44,6206,359,282,275,0.11193429,0.101129666,2,1.95,0.0073,18,29,0
12485,-29.035917,141.352819,254.945,3888,49.297905,0.06616561,15.075833,15.075833,187,37,8,32,35,67,27,72,29.442501,15.898334,206,308,52,124,137,140,44,6221,360,284,277,1.2310106,0.114186116,2,1.05,0.0065,20,25,1
12487,-29.945633,144.111706,195.87666,6070,52.667686,0.122934446,20.855833,20.855833,279,56,11,51,30,95,40,99,29.080833,14.565833,203,307,50,123,140,138,45,6058,357,279,272,0.11193429,0.25739104,6,1,0.008,27,29,2
12489,-30.395,142.717778,210.4675,4988,52.580994,0.09973519,17.536667,17.536667,251,51,12,49,26,76,31,84,28.705,14.899167,198,308,45,117,137,133,44,6115,353,274,268,0.11193429,0.28078496,2,1.9,0.0069,16,17,1
12491,-35.881,149.0076,117.91209,17144,72.00162,0.55037946,50.003334,50.003334,851,206,60,188,12,196,90,247,17.299168,4.56,92,267,-31,29,126,37,47,4918,236,155,61,2.668549,3.975982,4,1.85,0.0329,55,46,13
