"","sampleID","longitude","latitude"
"131","401559",150.79556,-33.65126
"132","401560",150.88022,-33.61179
"133","401561",150.88182,-33.60955
"134","401562",150.87949,-33.61308
"135","401563",150.75069,-33.67481
"136","401564",150.71494,-33.69629
"137","401565",150.71541,-33.69687
"138","401566",150.72525,-33.69566
"139","401567",150.72144,-33.69329
"140","401568",150.75291,-33.67646
"141","401569",151.1588,-33.73661
"142","401570",151.15686,-33.73623
"143","401571",151.06242,-33.75353
"144","401572",150.74571,-33.6547
"145","401573",151.15628,-33.7359
"146","401574",151.155,-33.7375
"147","401575",150.74469,-33.65388
"148","401576",150.80072,-33.65294
"149","401577",150.79839,-33.65123
"150","401578",150.74464,-33.65332
"151","401579",150.74562,-33.65373
"152","401580",151.05623,-33.7498
"153","401581",151.10703,-33.73052
"154","401582",151.10237,-33.73046
"155","401583",151.14209,-33.7347
"156","401584",151.04044,-33.74775
"157","401585",151.03778,-33.74152
"158","401586",150.66628,-33.80072
"159","401587",150.67838,-33.80283
"160","401588",150.67108,-33.79696
"161","401589",150.67021,-33.79639
"162","401590",150.67038,-33.8003
"163","401591",151.03645,-33.74079
"164","401592",151.03748,-33.74123
"165","401593",151.03748,-33.74244
"166","401594",151.06241,-33.74088
"167","401595",151.13336,-33.73914
"168","401596",150.62592,-33.5947
"169","401598",150.56583,-33.5267
"170","401600",150.36462,-33.5788
"171","401602",150.02722,-33.2204
"172","401604",150.13972,-33.3294
"173","401606",150.25119,-33.311
"174","401608",150.31919,-33.6479
"175","401610",150.45642,-33.705
"176","401612",150.6561,-34.5669
"177","401614",150.84319,-34.402
"178","401616",150.84216,-34.4029
"179","401618",150.84111,-34.4036
"180","401620",151.03063,-34.1485
"181","401622",151.03944,-33.7464
"182","401624",151.28383,-33.5857
"183","401626",151.3333,-33.3731
"184","401628",151.2917,-33.2644
"185","401630",152.3272,-32.5136
"186","401632",151.68166,-32.1227
"187","401634",151.8161,-31.9817
"188","401636",152.9878,-30.8367
"189","401638",152.989,-30.8315
"190","401640",153.0019,-30.6341
"191","401642",152.9722,-30.3214
"192","401644",152.79508,-30.361
"193","401646",152.79378,-30.362
"194","401648",152.73001,-30.3665
"195","401650",152.73093,-30.3655
"196","401652",150.78452,-31.9004
"197","401654",150.26694,-32.45
"198","401656",150.26933,-32.3984
"199","401658",150.27246,-32.4029
"200","401660",150.22814,-33.0839
"201","401662",148.36305,-32.2394
"202","401664",148.03667,-31.9733
"203","401666",147.20875,-31.5209
"204","401668",146.50365,-31.5616
"205","401669",145.79996,-31.5109
"206","401670",144.18282,-31.4914
"207","401672",144.18963,-31.4869
"208","401673",144.24699,-31.6086
"209","401675",144.20115,-31.628
"210","401677",144.36377,-31.3179
"211","401679",144.36696,-31.3325
"212","7035",134.685717,-29.002033
"213","7063",123.7349,-17.507017
"214","7069",118.08065,-22.57065
"215","7075",120.546167,-28.050517
"216","7077",120.545317,-28.053145
"217","7081",121.062283,-30.4051
"218","7083",116.413633,-32.820033
"219","7085",116.4591,-32.588867
"220","7091",126.9831,-31.863317
"221","7093",130.993683,-31.40915
"222","7826",150.759602,-35.141945
"223","7827",150.756877,-35.128092
"224","7829",150.753682,-35.15369
"225","7831",150.735271,-35.15304
"226","7833",150.70756,-35.138023
"227","7835",150.694532,-35.198355
"228","7837",150.725061,-35.162594
"229","7839",150.658375,-35.128049
"230","7841",150.68313,-35.139253
"231","7843",150.648699,-35.151228
"232","7845",150.636957,-35.15914
"233","7847",150.613597,-35.157302
"234","7849",150.737989,-35.141282
"235","7851",150.686346,-35.149699
"236","7853",150.673125,-35.163004
"237","7855",150.666674,-35.136747
"238","7857",150.632653,-35.161814
"239","7882",118.76062,-34.11782
"240","7886",118.761527,-34.117182
"241","7888",148.80225,-35.431
"242","7892",118.720502,-34.240089
"243","7894",118.721042,-34.241561
"244","7896",118.852825,-34.086318
"245","7898",118.851229,-34.084868
"246","7904",118.868672,-34.077238
"247","7910",118.860087,-34.093906
"248","7912",118.861484,-34.094451
"249","7916",118.730286,-34.303744
"250","7918",118.731283,-34.303255
"251","8076",115.211567,-30.181567
"252","8078",115.213433,-30.171067
"253","8084",115.258517,-30.111883
"254","8088",115.02035,-30.04105
"255","8090",115.0423,-30.0489
"256","8108",119.161556,-33.856778
"257","8114",119.406333,-34.087694
"258","8116",119.575694,-34.167694
"259","8118",119.394722,-34.339778
"260","8120",119.304,-34.216472
"261","8122",119.425444,-34.192167
"262","8124",119.341278,-34.381083
"263","8126",119.434528,-33.809528
"264","8128",119.722139,-33.728389
"265","8130",119.761694,-33.688361
"266","8132",119.999667,-33.931333
"267","8142",149.01165,-35.874817
"268","8144",149.0076,-35.881
"269","8146",149.0083,-35.8811
"270","8148",149.0097,-35.876683
"271","8150",149.01025,-35.876933
"272","8152",149.01088,-35.874867
"273","8154",131.0423,-25.351
"274","8158",131.0516,-25.3504
"275","8160",131.041,-25.351
"276","8162",131.0343,-25.3523
"277","8164",131.0213,-25.3457
"278","8268",141.99678,-35.12282
"279","8455",131.085,-25.3119
"280","8457",131.084,-25.3118
"281","8459",130.92864,-25.2875
"282","8461",130.756,-25.2713
"283","8487",132.373833,-12.64892
"284","8489",132.633355,-12.620676
"285","8491",132.633712,-12.620788
"286","8493",132.59483,-12.92929
"287","8495",132.63072,-12.90283
"288","8497",132.27107,-13.553881
"289","8507",132.458238,-13.516466
"290","8509",132.453114,-13.521618
"291","8511",132.445246,-13.518304
"292","8513",132.336477,-13.296442
"293","8515",132.79813,-12.82329
"294","8517",132.78996,-12.8649
"295","8519",132.81905,-12.86537
"296","8521",132.81381,-12.67631
"297","8523",132.84315,-12.70607
"298","8525",132.948521,-12.430474
"299","8527",132.941958,-12.43375
"300","8529",132.48192,-12.67332
"301","8531",132.479208,-12.678589
"302","9430",148.950867,-35.601567
"303","9434",148.932083,-35.6055
"304","9436",148.929694,-35.607278
"305","9438",148.785083,-35.44535
"306","9440",148.7826,-35.4502
"307","9442",148.78455,-35.4463
"308","9444",148.8305,-35.3365
"309","9446",148.80014,-35.3556
"310","9448",148.8234,-35.3952
"311","9450",148.8271,-35.3941
"312","9452",148.81485,-35.3929
"313","9456",148.7763,-35.5252
"314","9458",148.81105,-35.3912
"315","9460",148.84465,-35.371917
